domain,artifact,visibility,status,finding,sha256
repeat,repeat,private/hash-bound,available,allowlisted_projection,37037549334fa1ec6236e0c414d1e84347d1d0cf1dc52e7dabaf38f4c4d396f2
onset_adaptive,onset_adaptive,private/hash-bound,available,allowlisted_projection,056102e1b3ab74dcfdb3f70f4f1e5eb0d5f5457b3af9fe088c027ea6f64f9fd7
actual_gate_inputs,actual_gate_inputs,private/hash-bound,available,allowlisted_projection,3289294463cd0686bccfdf2a12d22e56f99a0a6690ca0cd6c5449e801901bd6e
reproduction,reproduction,private/hash-bound,available,allowlisted_projection,037ac87bd9ac0143ac377e6e7f16d590479231230d591b37c9132abaadfc4cc6
uniform,uniform,private/hash-bound,available,allowlisted_projection,3b385f727f754297b1cc217cbdf90569bcef216f9fa417502cd375784579e60c
piecewise,piecewise,private/hash-bound,available,allowlisted_projection,7a551fa6dc5590e327fe1d34586a068d51b442db10d56a1548415acf9c28de29
uniform,uniform,private/hash-bound,available,allowlisted_projection,166e3fcaf16efc589ee250da603339aba0a52fad45007b454049fad334d0581b
piecewise,piecewise,private/hash-bound,available,allowlisted_projection,ae57c628f15478d1402e3b0ea3c6bf8b22d3d766ee499515b7daff3a129d834a
uniform,uniform,private/hash-bound,available,allowlisted_projection,33aa51a4bcac5b6baeff1ce5d488ead033a4ae58fecbc4bc409b9fc1afdf5d0e
piecewise,piecewise,private/hash-bound,available,allowlisted_projection,c6b66a472855425b6c2cbf6a1f31650e3f0cf294bac5c9a26cc8bbc012a3a0fb
uniform,uniform,private/hash-bound,available,allowlisted_projection,668ca2e99bb6ff142b9b4e4572ec5cb5f2e7cd1fc9a6cd29ea0ff8628a5843f1
piecewise,piecewise,private/hash-bound,available,allowlisted_projection,f306565a38498624e63f49da983573f238ded827deb06279255c1ac52759f83b
uniform,uniform,private/hash-bound,available,allowlisted_projection,ed40c4d7aaab7be7c2c0d2c9f72397ba4ec736b122514f28d6ec733aa089f070
piecewise,piecewise,private/hash-bound,available,allowlisted_projection,9ae4537e3df1a078d3adc1deb30e0adc60d741a7940b7ba079b27689e044b4ad
uniform,uniform,private/hash-bound,available,allowlisted_projection,0da13f1eab34dcf4ddf435ff556afcdcf13ec34a5844fc4efa9cdd2659cb3fa3
piecewise,piecewise,private/hash-bound,available,allowlisted_projection,e4064d0fd0aeec5dca6ffe54dfc4a30da3dadfbb5843a88fb53b8deb973100ae
uniform,uniform,private/hash-bound,available,allowlisted_projection,889e4d62a9cc1d65e7dfbbac0f19a3aef68de54e41b181f479bfa360cad33510
piecewise,piecewise,private/hash-bound,available,allowlisted_projection,1aac8123632b409345a309a253f41f294bf0a791cf9a182e8d3b6cd320bfd088
independent_comparisons,independent_comparisons,private/hash-bound,available,allowlisted_projection,218fc1fb742ee7c2f4b514aaa10e65ef6c0c7aed1fb4cafce52fabc0d4045730
journal_metadata,journal_metadata,private/hash-bound,available,allowlisted_projection,02430c1fc25a658e95d2173c772f9870f0e0d23a959a5f29c580fed54a58bf3c
timeout,timeout,private/hash-bound,available,allowlisted_projection,f5f20c298711459b2f3c071b2c15d6220b12201047f5bd82041b7db744d85978
production,production_health.json,public,available,completed,
production,production_health.json,public,available,stopping_satisfied,
production,production_health.json,public,available,finite,
production,production_health.json,public,available,no_invalidating_production_warning,
production,production_health.json,public,available,maximum_consistent,
production,production_health.json,public,available,reference_agreement,
production,production_health.json,public,available,fully_verified,
piecewise,piecewise_health.json,public,available,partition_valid,
piecewise,piecewise_health.json,public,available,strict_repeat,
piecewise,piecewise_health.json,public,available,routing_valid,
piecewise,piecewise_health.json,public,available,finite,
piecewise,piecewise_health.json,public,available,adaptive_returned,
piecewise,piecewise_health.json,public,available,reference_agreement,
reference,reference_eligibility.json,public,available,partition_valid,
reference,reference_eligibility.json,public,available,retained_final_step_passed,
reference,reference_eligibility.json,public,available,eligible,
reference,reference_eligibility.json,public,available,consistent_with_retained_flag,
onset,onset_only_health.json,public,available,completed,
onset,onset_only_health.json,public,available,finite,
onset,onset_only_health.json,public,available,adaptive_normal_return,
onset,onset_only_health.json,public,unavailable,independent_accuracy_established,
onset,onset_only_health.json,public,available,reference_disagreement,
onset,onset_only_health.json,public,unavailable,refinement_persistence_established,
onset,onset_only_health.json,public,unavailable,insufficient_convergence_established,
gate,gate_adjudication.json,public,available,exact_route_reproduced,
gate,gate_adjudication.json,public,available,failed_condition_retained,
gate,gate_adjudication.json,public,unavailable,two_independently_accurate_paths_established,
gate,gate_adjudication.json,public,unavailable,unjustified_equivalence_established,
gate,gate_adjudication.json,public,available,different_estimand_established,
gate,gate_adjudication.json,public,unavailable,structural_cause_established,
partition,partition_audit.json,public,available,retained_audit,464f06e815623e494ed903f33006beba06af8457d811e1d1c5762f6c138258d3
continuity,onset_neighborhood.csv,public,available,existence_only_no_values_reopened,12eeea1c18f82c81e08e60a3f61e4b94776500c38f589cc8bce6e38a2d864feb
runtime,runtime_breakdown.json,public,available,historical_duration_limits_preserved,fb0e53197aa4b165ed9b007b059cf572b6edd844e6c803087acbb6ecc80580e4
