fixture,candidate,status,components,permutations,structure_exact,production_preserved,verification_preserved,reason,evidence_sha256
depth_x40_y0,constant_width,passed,3,1,true,true,true,accepted,38e4433af246717e107fa2fcf73cda92aca6b490653e11beaf82ae2650809e6e
depth_x40_y2,isotropic,passed,3,1,true,true,true,accepted,d67c109ee485c55b38fc56825e1da4ee2c13df1ecd0c21c478b54e735f3af4f3
depth_x40_y2,expanding,passed,3,1,true,true,true,accepted,ca41379360b0701d067d6c9d587c6b5120c077ce4a98cde9c83eb40de66ba38c
depth_x40_y2,constant_width,passed,3,1,true,true,true,accepted,11bc750703d68bff2f6d29f01d9c8006bd7e94ae473627b4ce3a3df2ce6b25f9
equal_minimum_one,isotropic,passed,3,1,true,true,true,accepted,14ee533ec0cd9ccfe394dab962d9eb4ba7e9606133bbd375d483b6587e28ef86
equal_minimum_one,expanding,passed,3,1,true,true,true,accepted,7c9f9aad7a5de9c2f9ccec7069d83d0359696a32300992a0ab41c55a8bb4d6f1
equal_minimum_one,constant_width,passed,3,1,true,true,true,accepted,a7dbeac994eb62930535a11c6d30d4e824db811065f869551d5c7b4e41731bb6
equal_minimum_three,isotropic,passed,5,6,true,true,true,accepted,f42f6cec9347c60ef9a25539514c78a52c0e3e91181a4c5fe3baab048dfb8dbe
equal_minimum_three,expanding,passed,5,6,true,true,true,accepted,ead7611d9b46444fdd39a1cc2ca4fd93186c3a90d7b7cc54be2d70a231a4750a
equal_minimum_three,constant_width,passed,5,6,true,true,true,accepted,495159c89c2389804677881bdc08898b7622bdb7075a457af1fc585c721588e1
star_edge_1,isotropic,passed,6,24,true,true,true,accepted,c8ff39c7d1f7c815b3d19df4aa1778d5e65c532df3425f10d5348a660c3489e1
star_edge_1,expanding,passed,6,24,true,true,true,accepted,5dd029523fc8b81fa5eaef20e83677d8054fa6a77f696f56559fffdb6d071e4b
star_edge_1,constant_width,passed,6,24,true,true,true,accepted,e7fdfb5ffc610d0b58c5aaec442f2aa93430307eb0ddee2d2f0164b451e75eeb
star_edge_2,isotropic,passed,6,24,true,true,true,accepted,f254ce1c0062e46cb50b90a38679763cf80ad332eddf19acf0585a1235d4033a
star_edge_2,expanding,passed,6,24,true,true,true,accepted,132bd7431e56f34ece3f761b7a62ef6f03052f187e4829445619bcb605592283
star_edge_2,constant_width,passed,6,24,true,true,true,accepted,9a69510c3bbaf49b4884fe82e6025189b63de3a764660c37feabbbe56dd2824a
star_edge_3,isotropic,passed,6,24,true,true,true,accepted,eadd47f62e41a6244310c3b253b58d48b44779fbd8e0a0cd212b9ff0dab0ad0f
star_edge_3,expanding,passed,6,24,true,true,true,accepted,22de14b4689571e096293785e9faa0241ed27c7b06931ecd259225ba2c7620cf
star_edge_3,constant_width,passed,6,24,true,true,true,accepted,6788c623b9861972f4779f2e781102ca96b8c69580fab06e7c3824ad14d8ae59
star_edge_4,isotropic,passed,6,24,true,true,true,accepted,6450482b3e41c98c8570bf362dec9e72007db9f4c4ec3e36e48ca903e1732f3e
star_edge_4,expanding,passed,6,24,true,true,true,accepted,0e17aa804c56440bc9135eb68f450694df367907b83c4f36bc0e7cdb32006bd7
star_edge_4,constant_width,passed,6,24,true,true,true,accepted,2e4b8060adc40740d0a0b129bd7f3009570ff06911c7f46a50d404e992c466f7
