fixture,candidate,component,intervals,estimate,previous_difference,absolute_reference_error,relative_reference_error,reference_available
axial_2,isotropic,maximum,256,0.24910629473295107,6.940163443935887e-09,4.619823412710389e-10,1.8545590785231797e-09,True
axial_2,isotropic,maximum,512,0.24910629516606975,4.331186798101072e-10,2.8863661460931667e-11,1.1586885605739091e-10,True
axial_2,isotropic,maximum,1024,0.24910629519312963,2.7059882112823175e-11,1.8037793481084918e-12,7.241002667945339e-12,True
axial_2,isotropic,maximum,2048,0.24910629519482066,1.6910361999578072e-12,1.1274314815068465e-13,4.525905218993347e-13,True
axial_2,expanding,individual_1,16,0.7291666666666666,,0.004166666666666652,0.005747126436781589,True
axial_2,expanding,individual_1,32,0.7263997395833334,0.0027669270833332593,0.0013997395833333925,0.0019306752873564036,True
axial_2,expanding,individual_1,64,0.7252604166666666,0.0011393229166667407,0.00026041666666665186,0.0003591954022988302,True
axial_2,expanding,individual_1,128,0.7249825795491537,0.0002778371175129468,1.7420450846294955e-05,2.402820806385511e-05,True
axial_2,expanding,individual_1,256,0.7249972025553385,1.4623006184821818e-05,2.7974446614731363e-06,3.858544360652602e-06,True
axial_2,expanding,individual_1,512,0.7250002895792326,3.087023894066121e-06,2.895792325929847e-07,3.994196311627375e-07,True
axial_2,expanding,individual_1,1024,0.7250000486771265,2.4090210604121864e-07,4.867712655176604e-08,6.714086420933247e-08,True
axial_2,expanding,individual_1,2048,0.7249999955432335,5.313389306316196e-08,4.4567665113959265e-09,6.147264153649554e-09,True
axial_2,expanding,union,16,0.7291666666666666,,0.004166666666666652,0.005747126436781589,True
axial_2,expanding,union,32,0.7263997395833334,0.0027669270833332593,0.0013997395833333925,0.0019306752873564036,True
axial_2,expanding,union,64,0.7252604166666666,0.0011393229166667407,0.00026041666666665186,0.0003591954022988302,True
axial_2,expanding,union,128,0.7249825795491537,0.0002778371175129468,1.7420450846294955e-05,2.402820806385511e-05,True
axial_2,expanding,union,256,0.7249972025553385,1.4623006184821818e-05,2.7974446614731363e-06,3.858544360652602e-06,True
axial_2,expanding,union,512,0.7250002895792326,3.087023894066121e-06,2.895792325929847e-07,3.994196311627375e-07,True
axial_2,expanding,union,1024,0.7250000486771265,2.4090210604121864e-07,4.867712655176604e-08,6.714086420933247e-08,True
axial_2,expanding,union,2048,0.7249999955432335,5.313389306316196e-08,4.4567665113959265e-09,6.147264153649554e-09,True
axial_2,expanding,maximum,16,0.7291666666666666,,0.004166666666666652,0.005747126436781589,True
axial_2,expanding,maximum,32,0.7263997395833334,0.0027669270833332593,0.0013997395833333925,0.0019306752873564036,True
axial_2,expanding,maximum,64,0.7252604166666666,0.0011393229166667407,0.00026041666666665186,0.0003591954022988302,True
axial_2,expanding,maximum,128,0.7249825795491537,0.0002778371175129468,1.7420450846294955e-05,2.402820806385511e-05,True
axial_2,expanding,maximum,256,0.7249972025553385,1.4623006184821818e-05,2.7974446614731363e-06,3.858544360652602e-06,True
axial_2,expanding,maximum,512,0.7250002895792326,3.087023894066121e-06,2.895792325929847e-07,3.994196311627375e-07,True
axial_2,expanding,maximum,1024,0.7250000486771265,2.4090210604121864e-07,4.867712655176604e-08,6.714086420933247e-08,True
axial_2,expanding,maximum,2048,0.7249999955432335,5.313389306316196e-08,4.4567665113959265e-09,6.147264153649554e-09,True
axial_2,constant_width,individual_1,16,0.7291666666666666,,0.004166666666666652,0.005747126436781589,True
axial_2,constant_width,individual_1,32,0.7263997395833334,0.0027669270833332593,0.0013997395833333925,0.0019306752873564036,True
axial_2,constant_width,individual_1,64,0.7252604166666666,0.0011393229166667407,0.00026041666666665186,0.0003591954022988302,True
axial_2,constant_width,individual_1,128,0.7249825795491537,0.0002778371175129468,1.7420450846294955e-05,2.402820806385511e-05,True
axial_2,constant_width,individual_1,256,0.7249972025553385,1.4623006184821818e-05,2.7974446614731363e-06,3.858544360652602e-06,True
axial_2,constant_width,individual_1,512,0.7250002895792326,3.087023894066121e-06,2.895792325929847e-07,3.994196311627375e-07,True
axial_2,constant_width,individual_1,1024,0.7250000486771265,2.4090210604121864e-07,4.867712655176604e-08,6.714086420933247e-08,True
axial_2,constant_width,individual_1,2048,0.7249999955432335,5.313389306316196e-08,4.4567665113959265e-09,6.147264153649554e-09,True
axial_2,constant_width,union,16,0.7291666666666666,,0.004166666666666652,0.005747126436781589,True
axial_2,constant_width,union,32,0.7263997395833334,0.0027669270833332593,0.0013997395833333925,0.0019306752873564036,True
axial_2,constant_width,union,64,0.7252604166666666,0.0011393229166667407,0.00026041666666665186,0.0003591954022988302,True
axial_2,constant_width,union,128,0.7249825795491537,0.0002778371175129468,1.7420450846294955e-05,2.402820806385511e-05,True
axial_2,constant_width,union,256,0.7249972025553385,1.4623006184821818e-05,2.7974446614731363e-06,3.858544360652602e-06,True
axial_2,constant_width,union,512,0.7250002895792326,3.087023894066121e-06,2.895792325929847e-07,3.994196311627375e-07,True
axial_2,constant_width,union,1024,0.7250000486771265,2.4090210604121864e-07,4.867712655176604e-08,6.714086420933247e-08,True
axial_2,constant_width,union,2048,0.7249999955432335,5.313389306316196e-08,4.4567665113959265e-09,6.147264153649554e-09,True
axial_2,constant_width,maximum,16,0.7291666666666666,,0.004166666666666652,0.005747126436781589,True
axial_2,constant_width,maximum,32,0.7263997395833334,0.0027669270833332593,0.0013997395833333925,0.0019306752873564036,True
axial_2,constant_width,maximum,64,0.7252604166666666,0.0011393229166667407,0.00026041666666665186,0.0003591954022988302,True
axial_2,constant_width,maximum,128,0.7249825795491537,0.0002778371175129468,1.7420450846294955e-05,2.402820806385511e-05,True
axial_2,constant_width,maximum,256,0.7249972025553385,1.4623006184821818e-05,2.7974446614731363e-06,3.858544360652602e-06,True
axial_2,constant_width,maximum,512,0.7250002895792326,3.087023894066121e-06,2.895792325929847e-07,3.994196311627375e-07,True
axial_2,constant_width,maximum,1024,0.7250000486771265,2.4090210604121864e-07,4.867712655176604e-08,6.714086420933247e-08,True
axial_2,constant_width,maximum,2048,0.7249999955432335,5.313389306316196e-08,4.4567665113959265e-09,6.147264153649554e-09,True
axial_3,isotropic,individual_1,16,0.12533114115667285,,2.7257487716925155e-07,2.1748328615608324e-06,True
axial_3,isotropic,individual_1,32,0.12533141373155002,2.7257487716925155e-07,0.0,0.0,True
axial_3,isotropic,individual_1,64,0.12533141373155002,0.0,0.0,0.0,True
axial_3,isotropic,individual_1,128,0.12533141373155002,0.0,0.0,0.0,True
axial_3,isotropic,individual_1,256,0.12533141373155002,0.0,0.0,0.0,True
axial_3,isotropic,individual_1,512,0.12533141373155002,0.0,0.0,0.0,True
axial_3,isotropic,individual_1,1024,0.12533141373155002,0.0,0.0,0.0,True
axial_3,isotropic,individual_1,2048,0.12533141373155002,0.0,0.0,0.0,True
axial_3,isotropic,union,16,0.12533114115667285,,2.7257487716925155e-07,2.1748328615608324e-06,True
axial_3,isotropic,union,32,0.12533141373155002,2.7257487716925155e-07,0.0,0.0,True
axial_3,isotropic,union,64,0.12533141373155002,0.0,0.0,0.0,True
axial_3,isotropic,union,128,0.12533141373155002,0.0,0.0,0.0,True
axial_3,isotropic,union,256,0.12533141373155002,0.0,0.0,0.0,True
axial_3,isotropic,union,512,0.12533141373155002,0.0,0.0,0.0,True
axial_3,isotropic,union,1024,0.12533141373155002,0.0,0.0,0.0,True
axial_3,isotropic,union,2048,0.12533141373155002,0.0,0.0,0.0,True
axial_3,isotropic,maximum,16,0.12533114115667285,,2.7257487716925155e-07,2.1748328615608324e-06,True
axial_3,isotropic,maximum,32,0.12533141373155002,2.7257487716925155e-07,0.0,0.0,True
axial_3,isotropic,maximum,64,0.12533141373155002,0.0,0.0,0.0,True
axial_3,isotropic,maximum,128,0.12533141373155002,0.0,0.0,0.0,True
axial_3,isotropic,maximum,256,0.12533141373155002,0.0,0.0,0.0,True
axial_3,isotropic,maximum,512,0.12533141373155002,0.0,0.0,0.0,True
axial_3,isotropic,maximum,1024,0.12533141373155002,0.0,0.0,0.0,True
axial_3,isotropic,maximum,2048,0.12533141373155002,0.0,0.0,0.0,True
axial_3,expanding,individual_1,16,0.0,,0.0,,True
axial_3,expanding,individual_1,32,0.0,0.0,0.0,,True
axial_3,expanding,individual_1,64,0.0,0.0,0.0,,True
axial_3,expanding,individual_1,128,0.0,0.0,0.0,,True
axial_3,expanding,individual_1,256,0.0,0.0,0.0,,True
axial_3,expanding,individual_1,512,0.0,0.0,0.0,,True
axial_3,expanding,individual_1,1024,0.0,0.0,0.0,,True
axial_3,expanding,individual_1,2048,0.0,0.0,0.0,,True
axial_3,expanding,union,16,0.0,,0.0,,True
axial_3,expanding,union,32,0.0,0.0,0.0,,True
axial_3,expanding,union,64,0.0,0.0,0.0,,True
axial_3,expanding,union,128,0.0,0.0,0.0,,True
axial_3,expanding,union,256,0.0,0.0,0.0,,True
axial_3,expanding,union,512,0.0,0.0,0.0,,True
axial_3,expanding,union,1024,0.0,0.0,0.0,,True
axial_3,expanding,union,2048,0.0,0.0,0.0,,True
axial_3,expanding,maximum,16,0.0,,0.0,,True
axial_3,expanding,maximum,32,0.0,0.0,0.0,,True
axial_3,expanding,maximum,64,0.0,0.0,0.0,,True
axial_3,expanding,maximum,128,0.0,0.0,0.0,,True
axial_3,expanding,maximum,256,0.0,0.0,0.0,,True
axial_3,expanding,maximum,512,0.0,0.0,0.0,,True
axial_3,expanding,maximum,1024,0.0,0.0,0.0,,True
axial_3,expanding,maximum,2048,0.0,0.0,0.0,,True
axial_3,constant_width,individual_1,16,0.0,,0.0,,True
axial_3,constant_width,individual_1,32,0.0,0.0,0.0,,True
axial_3,constant_width,individual_1,64,0.0,0.0,0.0,,True
axial_3,constant_width,individual_1,128,0.0,0.0,0.0,,True
axial_3,constant_width,individual_1,256,0.0,0.0,0.0,,True
axial_3,constant_width,individual_1,512,0.0,0.0,0.0,,True
axial_3,constant_width,individual_1,1024,0.0,0.0,0.0,,True
axial_3,constant_width,individual_1,2048,0.0,0.0,0.0,,True
axial_3,constant_width,union,16,0.0,,0.0,,True
axial_3,constant_width,union,32,0.0,0.0,0.0,,True
axial_3,constant_width,union,64,0.0,0.0,0.0,,True
axial_3,constant_width,union,128,0.0,0.0,0.0,,True
axial_3,constant_width,union,256,0.0,0.0,0.0,,True
axial_3,constant_width,union,512,0.0,0.0,0.0,,True
axial_3,constant_width,union,1024,0.0,0.0,0.0,,True
axial_3,constant_width,union,2048,0.0,0.0,0.0,,True
axial_3,constant_width,maximum,16,0.0,,0.0,,True
axial_3,constant_width,maximum,32,0.0,0.0,0.0,,True
axial_3,constant_width,maximum,64,0.0,0.0,0.0,,True
axial_3,constant_width,maximum,128,0.0,0.0,0.0,,True
axial_3,constant_width,maximum,256,0.0,0.0,0.0,,True
axial_3,constant_width,maximum,512,0.0,0.0,0.0,,True
axial_3,constant_width,maximum,1024,0.0,0.0,0.0,,True
axial_3,constant_width,maximum,2048,0.0,0.0,0.0,,True
axial_4,isotropic,individual_1,16,0.0015894661079997876,,3.2933839841168145e-05,0.02115846906285402,True
axial_4,isotropic,individual_1,32,0.001558478577852964,3.098753014682369e-05,1.9463096943444537e-06,0.0012504139709528423,True
axial_4,isotropic,individual_1,64,0.0015566513647497235,1.8272131032403844e-06,1.190965911040693e-07,7.651405212752884e-05,True
axial_4,isotropic,individual_1,128,0.0015565396703044385,1.1169444528503526e-07,7.402145819034034e-09,4.755536374321867e-06,True
axial_4,isotropic,individual_1,256,0.0015565327301410006,6.940163437864355e-09,4.619823811696788e-10,2.968023153906117e-07,True
axial_4,isotropic,individual_1,512,0.0015565322970223156,4.3311868501427764e-10,2.8863696155401186e-11,1.8543589969738946e-08,True
axial_4,isotropic,individual_1,1024,0.0015565322699624398,2.7059875824450574e-11,1.8038203309506118e-12,1.1588711444347598e-09,True
axial_4,isotropic,individual_1,2048,0.0015565322682713548,1.691084989055569e-12,1.1273534189504275e-13,7.242724368856733e-11,True
axial_4,isotropic,union,16,0.0015894661079997876,,3.2933839841168145e-05,0.02115846906285402,True
axial_4,isotropic,union,32,0.001558478577852964,3.098753014682369e-05,1.9463096943444537e-06,0.0012504139709528423,True
axial_4,isotropic,union,64,0.0015566513647497235,1.8272131032403844e-06,1.190965911040693e-07,7.651405212752884e-05,True
axial_4,isotropic,union,128,0.0015565396703044385,1.1169444528503526e-07,7.402145819034034e-09,4.755536374321867e-06,True
