feature,bin,match_alias,states,represented_matches,m1_mean_rank_change,m2_mean_rank_change,m1_improved,m1_worsened,m1_tied,m2_improved,m2_worsened,m2_tied
longitudinal,bin_1,development_07,95,1,-0.7157894736842102,-0.22105263157894725,43,21,31,18,4,73
longitudinal,bin_1,development_08,98,1,-0.4591836734693878,-0.020408163265306128,48,25,25,8,7,83
longitudinal,bin_1,development_09,57,1,-0.9473684210526316,-0.19298245614035087,34,9,14,11,1,45
longitudinal,bin_1,match_macro,860,9,-0.6650549581271792,-0.14069996089105027,423,178,259,125,38,697
longitudinal,bin_2,development_01,365,1,-0.23287671232876717,-0.063013698630137,125,100,140,41,16,308
longitudinal,bin_2,development_02,338,1,-0.1331360946745562,-0.05621301775147928,118,91,129,33,15,290
longitudinal,bin_2,development_03,364,1,-0.2774725274725275,-0.06593406593406594,121,79,164,33,14,317
longitudinal,bin_2,development_04,349,1,-0.08882521489971344,-0.0315186246418338,111,94,144,24,17,308
longitudinal,bin_2,development_05,326,1,-0.1226993865030675,-0.06134969325153374,112,85,129,26,10,290
longitudinal,bin_2,development_06,250,1,-0.19199999999999995,-0.036,76,63,111,24,12,214
longitudinal,bin_2,development_07,291,1,-0.3092783505154639,-0.04467353951890034,111,67,113,24,11,256
longitudinal,bin_2,development_08,282,1,-0.4822695035460994,-0.053191489361702135,127,56,99,21,8,253
longitudinal,bin_2,development_09,294,1,-0.2551020408163265,-0.05442176870748299,86,69,139,25,11,258
longitudinal,bin_2,match_macro,2859,9,-0.23262887008405797,-0.051812877533015035,987,704,1168,251,114,2494
longitudinal,bin_3,development_01,307,1,-0.7524429967426709,0.009771986970684038,150,51,106,12,14,281
longitudinal,bin_3,development_02,254,1,-0.5472440944881889,0.05511811023622047,106,49,99,11,22,221
longitudinal,bin_3,development_03,314,1,-0.5414012738853504,0.038216560509554146,141,80,93,15,22,277
longitudinal,bin_3,development_04,317,1,-0.6908517350157729,0.04100946372239748,139,51,127,10,20,287
longitudinal,bin_3,development_05,279,1,-0.43727598566308257,0.03225806451612904,111,60,108,9,15,255
longitudinal,bin_3,development_06,215,1,-0.530232558139535,0.03255813953488373,93,50,72,15,20,180
longitudinal,bin_3,development_07,243,1,-0.49794238683127556,0.06584362139917693,122,48,73,12,23,208
longitudinal,bin_3,development_08,226,1,-0.584070796460177,0.05752212389380531,115,43,68,5,17,204
longitudinal,bin_3,development_09,264,1,-0.4962121212121213,0.09848484848484851,118,62,84,6,29,229
longitudinal,bin_3,match_macro,2419,9,-0.5641859942709083,0.04786476880752218,1095,494,830,95,182,2142
longitudinal,bin_4,development_01,113,1,-1.265486725663717,0.008849557522123894,74,21,18,10,12,91
longitudinal,bin_4,development_02,119,1,-1.3361344537815132,0.050420168067226906,75,17,27,9,13,97
longitudinal,bin_4,development_03,145,1,-1.2482758620689656,0.0,88,26,31,13,12,120
longitudinal,bin_4,development_04,123,1,-1.7560975609756095,-0.03252032520325202,88,13,22,14,11,98
longitudinal,bin_4,development_05,120,1,-0.8166666666666668,-0.03333333333333336,59,29,32,11,14,95
longitudinal,bin_4,development_06,97,1,-0.7628865979381441,0.11340206185567006,52,22,23,2,12,83
longitudinal,bin_4,development_07,135,1,-1.1333333333333335,0.14814814814814817,79,22,34,7,25,103
longitudinal,bin_4,development_08,128,1,-0.796875,0.0078125,73,23,32,10,11,107
longitudinal,bin_4,development_09,109,1,-1.550458715596331,0.10091743119266058,69,17,23,5,15,89
longitudinal,bin_4,match_macro,1089,9,-1.1851349906693645,0.04041068980547157,657,190,242,81,125,883
