fixture,candidate,component,reference_source,intervals,successive_vector_difference,estimate,reference,absolute_error,passed
lateral_x10_y5,isotropic,maximum,14b,512,4.353462035311395e-14,0.011013349698107319,0.011013349698110228,2.9091312692131055e-15,True
lateral_x10_y5,expanding,individual_1,14b,512,1.804263320866195e-08,0.006801855241388369,0.006801862045462981,6.804074611892197e-09,True
lateral_x10_y5,expanding,union,14b,512,1.804263320866195e-08,0.006801855241388369,0.006801862045462981,6.804074611892197e-09,True
lateral_x10_y5,expanding,maximum,14b,512,1.804263320866195e-08,0.006801855241388369,0.006801862045462981,6.804074611892197e-09,True
lateral_x10_y5,constant_width,individual_1,14b,512,5.4336551332575395e-09,0.0009929232887811359,0.0009929264426254219,3.153844285990609e-09,True
lateral_x10_y5,constant_width,union,14b,512,5.4336551332575395e-09,0.0009929232887811359,0.0009929264426254219,3.153844285990609e-09,True
lateral_x10_y5,constant_width,maximum,14b,512,5.4336551332575395e-09,0.0009929232887811359,0.0009929264426254219,3.153844285990609e-09,True
lateral_x15_y0,isotropic,individual_1,14b,512,4.331186798101072e-10,0.24910629516606975,0.2491062951949334,2.8863661460931667e-11,True
lateral_x15_y0,isotropic,union,14b,512,4.331186798101072e-10,0.24910629516606975,0.2491062951949334,2.8863661460931667e-11,True
lateral_x15_y0,isotropic,maximum,14b,512,4.331186798101072e-10,0.24910629516606975,0.2491062951949334,2.8863661460931667e-11,True
lateral_x15_y0,expanding,individual_1,14b,2048,5.3133893118673114e-08,0.22499999554323344,0.225,4.456766566907078e-09,True
lateral_x15_y0,expanding,union,14b,2048,5.3133893118673114e-08,0.22499999554323344,0.225,4.456766566907078e-09,True
lateral_x15_y0,expanding,maximum,14b,2048,5.3133893118673114e-08,0.22499999554323344,0.225,4.456766566907078e-09,True
lateral_x15_y0,constant_width,individual_1,14b,2048,5.3133893118673114e-08,0.22499999554323344,0.225,4.456766566907078e-09,True
lateral_x15_y0,constant_width,union,14b,2048,5.3133893118673114e-08,0.22499999554323344,0.225,4.456766566907078e-09,True
lateral_x15_y0,constant_width,maximum,14b,2048,5.3133893118673114e-08,0.22499999554323344,0.225,4.456766566907078e-09,True
lateral_x15_y1,isotropic,individual_1,14b,512,3.8222588982783634e-10,0.2198355338983805,0.21983553392385263,2.5472124409731123e-11,True
lateral_x15_y1,isotropic,union,14b,512,3.8222588982783634e-10,0.2198355338983805,0.21983553392385263,2.5472124409731123e-11,True
lateral_x15_y1,isotropic,maximum,14b,512,3.8222588982783634e-10,0.2198355338983805,0.21983553392385263,2.5472124409731123e-11,True
lateral_x15_y1,expanding,individual_1,14b,2048,1.3189511705036239e-09,0.19765491871344976,0.1976549180262912,6.871585522816304e-10,True
lateral_x15_y1,expanding,union,14b,2048,1.3189511705036239e-09,0.19765491871344976,0.1976549180262912,6.871585522816304e-10,True
lateral_x15_y1,expanding,maximum,14b,2048,1.3189511705036239e-09,0.19765491871344976,0.1976549180262912,6.871585522816304e-10,True
lateral_x15_y1,constant_width,individual_1,14b,2048,1.7411957986546156e-10,0.18595620821688116,0.18595620765280052,5.640806433060419e-10,True
lateral_x15_y1,constant_width,union,14b,2048,1.7411957986546156e-10,0.18595620821688116,0.18595620765280052,5.640806433060419e-10,True
lateral_x15_y1,constant_width,maximum,14b,2048,1.7411957986546156e-10,0.18595620821688116,0.18595620765280052,5.640806433060419e-10,True
lateral_x15_y2,isotropic,individual_1,14b,512,2.6269975084147745e-10,0.15109060554564627,0.15109060556315299,1.7506718297255475e-11,True
lateral_x15_y2,isotropic,union,14b,512,2.6269975084147745e-10,0.15109060554564627,0.15109060556315299,1.7506718297255475e-11,True
lateral_x15_y2,isotropic,maximum,14b,512,2.6269975084147745e-10,0.15109060554564627,0.15109060556315299,1.7506718297255475e-11,True
lateral_x15_y2,expanding,individual_1,14b,2048,5.0783465349590884e-08,0.13292762911694314,0.13292762915006986,3.312672358646296e-11,True
lateral_x15_y2,expanding,union,14b,2048,5.0783465349590884e-08,0.13292762911694314,0.13292762915006986,3.312672358646296e-11,True
lateral_x15_y2,expanding,maximum,14b,2048,5.0783465349590884e-08,0.13292762911694314,0.13292762915006986,3.312672358646296e-11,True
lateral_x15_y2,constant_width,individual_1,14b,2048,4.757736189742179e-08,0.1053485361074352,0.10534853579192392,3.1551128376605675e-10,True
lateral_x15_y2,constant_width,union,14b,2048,4.757736189742179e-08,0.1053485361074352,0.10534853579192392,3.1551128376605675e-10,True
lateral_x15_y2,constant_width,maximum,14b,2048,4.757736189742179e-08,0.1053485361074352,0.10534853579192392,3.1551128376605675e-10,True
lateral_x15_y5,isotropic,individual_1,14b,512,1.9029907857848194e-11,0.010944966755884543,0.010944966757152723,1.2681800054537007e-12,True
lateral_x15_y5,isotropic,union,14b,512,1.9029907857848194e-11,0.010944966755884543,0.010944966757152723,1.2681800054537007e-12,True
lateral_x15_y5,isotropic,maximum,14b,512,1.9029907857848194e-11,0.010944966755884543,0.010944966757152723,1.2681800054537007e-12,True
lateral_x15_y5,expanding,individual_1,14b,512,1.5235766151304453e-08,0.005675546169237052,0.005675551071220195,4.901983142319155e-09,True
lateral_x15_y5,expanding,union,14b,512,1.5235766151304453e-08,0.005675546169237052,0.005675551071220195,4.901983142319155e-09,True
lateral_x15_y5,expanding,maximum,14b,512,1.5235766151304453e-08,0.005675546169237052,0.005675551071220195,4.901983142319155e-09,True
lateral_x15_y5,constant_width,individual_1,14b,512,5.4537728831714066e-08,0.001993005648887085,0.0019930139797117987,8.330824713669721e-09,True
lateral_x15_y5,constant_width,union,14b,512,5.4537728831714066e-08,0.001993005648887085,0.0019930139797117987,8.330824713669721e-09,True
lateral_x15_y5,constant_width,maximum,14b,512,5.4537728831714066e-08,0.001993005648887085,0.0019930139797117987,8.330824713669721e-09,True
depth_x4_y0,isotropic,individual_1,14b,512,1.5235590566931023e-11,0.37891179783599926,0.3789117978370149,1.0156320229270932e-12,True
depth_x4_y0,isotropic,union,14b,512,1.5235590566931023e-11,0.37891179783599926,0.3789117978370149,1.0156320229270932e-12,True
depth_x4_y0,isotropic,maximum,14b,512,1.5235590566931023e-11,0.37891179783599926,0.3789117978370149,1.0156320229270932e-12,True
depth_x4_y0,expanding,individual_1,14b,512,0.0,0.0,0.0,0.0,True
depth_x4_y0,expanding,union,14b,512,0.0,0.0,-0.0,0.0,True
depth_x4_y0,expanding,maximum,14b,512,0.0,0.0,0.0,0.0,True
depth_x4_y0,constant_width,individual_1,14b,512,0.0,0.0,0.0,0.0,True
depth_x4_y0,constant_width,union,14b,512,0.0,0.0,-0.0,0.0,True
depth_x4_y0,constant_width,maximum,14b,512,0.0,0.0,0.0,0.0,True
depth_x4_y2,isotropic,individual_1,14b,512,2.664146681041757e-12,0.2924090212059966,0.29240902120617424,1.7763568394002505e-13,True
depth_x4_y2,isotropic,union,14b,512,2.664146681041757e-12,0.2924090212059966,0.29240902120617424,1.7763568394002505e-13,True
depth_x4_y2,isotropic,maximum,14b,512,2.664146681041757e-12,0.2924090212059966,0.29240902120617424,1.7763568394002505e-13,True
depth_x4_y2,expanding,individual_1,14b,512,0.0,0.0,0.0,0.0,True
depth_x4_y2,expanding,union,14b,512,0.0,0.0,-0.0,0.0,True
depth_x4_y2,expanding,maximum,14b,512,0.0,0.0,0.0,0.0,True
depth_x4_y2,constant_width,individual_1,14b,512,0.0,0.0,0.0,0.0,True
depth_x4_y2,constant_width,union,14b,512,0.0,0.0,-0.0,0.0,True
depth_x4_y2,constant_width,maximum,14b,512,0.0,0.0,0.0,0.0,True
depth_x5_y0,isotropic,individual_1,14b,512,6.764366844436154e-12,0.49509952585311473,0.4950995258535656,4.5086157030027607e-13,True
depth_x5_y0,isotropic,union,14b,512,6.764366844436154e-12,0.49509952585311473,0.4950995258535656,4.5086157030027607e-13,True
depth_x5_y0,isotropic,maximum,14b,512,6.764366844436154e-12,0.49509952585311473,0.4950995258535656,4.5086157030027607e-13,True
depth_x5_y0,expanding,individual_1,14b,512,0.0,0.0,0.0,0.0,True
depth_x5_y0,expanding,union,14b,512,0.0,0.0,-0.0,0.0,True
depth_x5_y0,expanding,maximum,14b,512,0.0,0.0,0.0,0.0,True
depth_x5_y0,constant_width,individual_1,14b,512,0.0,0.0,0.0,0.0,True
depth_x5_y0,constant_width,union,14b,512,0.0,0.0,-0.0,0.0,True
depth_x5_y0,constant_width,maximum,14b,512,0.0,0.0,0.0,0.0,True
depth_x5_y2,isotropic,individual_1,14b,512,9.497513886458364e-12,0.38395969656254764,0.38395969656191453,6.331046797924955e-13,True
depth_x5_y2,isotropic,union,14b,512,9.497513886458364e-12,0.38395969656254764,0.38395969656191453,6.331046797924955e-13,True
depth_x5_y2,isotropic,maximum,14b,512,9.497513886458364e-12,0.38395969656254764,0.38395969656191453,6.331046797924955e-13,True
depth_x5_y2,expanding,individual_1,14b,512,0.0,0.0,0.0,0.0,True
depth_x5_y2,expanding,union,14b,512,0.0,0.0,-0.0,0.0,True
depth_x5_y2,expanding,maximum,14b,512,0.0,0.0,0.0,0.0,True
depth_x5_y2,constant_width,individual_1,14b,512,0.0,0.0,0.0,0.0,True
depth_x5_y2,constant_width,union,14b,512,0.0,0.0,-0.0,0.0,True
depth_x5_y2,constant_width,maximum,14b,512,0.0,0.0,0.0,0.0,True
depth_x5.5_y0,isotropic,individual_1,14b,512,8.94873064538615e-12,0.5400614114462935,0.5400614114456971,5.964118088286341e-13,True
depth_x5.5_y0,isotropic,union,14b,512,8.94873064538615e-12,0.5400614114462935,0.5400614114456971,5.964118088286341e-13,True
depth_x5.5_y0,isotropic,maximum,14b,512,8.94873064538615e-12,0.5400614114462935,0.5400614114456971,5.964118088286341e-13,True
depth_x5.5_y0,expanding,individual_1,14b,1024,3.2465626038230555e-08,0.017045452404696942,0.017045454545454575,2.1407576336618384e-09,True
depth_x5.5_y0,expanding,union,14b,1024,3.2465626038230555e-08,0.017045452404696942,0.017045454545454575,2.1407576336618384e-09,True
depth_x5.5_y0,expanding,maximum,14b,1024,3.2465626038230555e-08,0.017045452404696942,0.017045454545454575,2.1407576336618384e-09,True
depth_x5.5_y0,constant_width,individual_1,14b,1024,3.2465626038230555e-08,0.017045452404696942,0.017045454545454575,2.1407576336618384e-09,True
depth_x5.5_y0,constant_width,union,14b,1024,3.2465626038230555e-08,0.017045452404696942,0.017045454545454575,2.1407576336618384e-09,True
depth_x5.5_y0,constant_width,maximum,14b,1024,3.2465626038230555e-08,0.017045452404696942,0.017045454545454575,2.1407576336618384e-09,True
depth_x5.5_y2,isotropic,individual_1,14b,512,1.9573509479897666e-11,0.42135095286279606,0.4213509528614912,1.3048451208419465e-12,True
depth_x5.5_y2,isotropic,union,14b,512,1.9573509479897666e-11,0.42135095286279606,0.4213509528614912,1.3048451208419465e-12,True
depth_x5.5_y2,isotropic,maximum,14b,512,1.9573509479897666e-11,0.42135095286279606,0.4213509528614912,1.3048451208419465e-12,True
depth_x5.5_y2,expanding,individual_1,14b,1024,2.1483147276749048e-08,0.010905334118500606,0.01090533553559732,1.4170967142790314e-09,True
depth_x5.5_y2,expanding,union,14b,1024,2.1483147276749048e-08,0.010905334118500606,0.01090533553559732,1.4170967142790314e-09,True
depth_x5.5_y2,expanding,maximum,14b,1024,2.1483147276749048e-08,0.010905334118500606,0.01090533553559732,1.4170967142790314e-09,True
depth_x5.5_y2,constant_width,individual_1,14b,1024,2.148794478809557e-08,0.010589072031877153,0.01058907344975959,1.4178824364607934e-09,True
depth_x5.5_y2,constant_width,union,14b,1024,2.148794478809557e-08,0.010589072031877153,0.01058907344975959,1.4178824364607934e-09,True
depth_x5.5_y2,constant_width,maximum,14b,1024,2.148794478809557e-08,0.010589072031877153,0.01058907344975959,1.4178824364607934e-09,True
depth_x6_y0,isotropic,individual_1,14b,512,2.8044233602031454e-11,0.5725580111998022,0.5725580111979328,1.8693935288638386e-12,True
depth_x6_y0,isotropic,union,14b,512,2.8044233602031454e-11,0.5725580111998022,0.5725580111979328,1.8693935288638386e-12,True
depth_x6_y0,isotropic,maximum,14b,512,2.8044233602031454e-11,0.5725580111998022,0.5725580111979328,1.8693935288638386e-12,True
depth_x6_y0,expanding,individual_1,14b,1024,4.4994521886110306e-08,0.0833333382809845,0.08333333333333336,4.947651149889154e-09,True
depth_x6_y0,expanding,union,14b,1024,4.4994521886110306e-08,0.0833333382809845,0.08333333333333336,4.947651149889154e-09,True
depth_x6_y0,expanding,maximum,14b,1024,4.4994521886110306e-08,0.0833333382809845,0.08333333333333336,4.947651149889154e-09,True
depth_x6_y0,constant_width,individual_1,14b,1024,4.4994521886110306e-08,0.0833333382809845,0.08333333333333336,4.947651149889154e-09,True
depth_x6_y0,constant_width,union,14b,1024,4.4994521886110306e-08,0.0833333382809845,0.08333333333333336,4.947651149889154e-09,True
depth_x6_y0,constant_width,maximum,14b,1024,4.4994521886110306e-08,0.0833333382809845,0.08333333333333336,4.947651149889154e-09,True
depth_x6_y2,isotropic,individual_1,14b,512,2.8052116185506293e-11,0.45034147982199685,0.4503414798201268,1.8700596626786137e-12,True
depth_x6_y2,isotropic,union,14b,512,2.8052116185506293e-11,0.45034147982199685,0.4503414798201268,1.8700596626786137e-12,True
depth_x6_y2,isotropic,maximum,14b,512,2.8052116185506293e-11,0.45034147982199685,0.4503414798201268,1.8700596626786137e-12,True
depth_x6_y2,expanding,individual_1,14b,1024,3.177886648275674e-08,0.05585569373014478,0.05585569023282207,3.4973227161505527e-09,True
depth_x6_y2,expanding,union,14b,1024,3.177886648275674e-08,0.05585569373014478,0.05585569023282207,3.4973227161505527e-09,True
depth_x6_y2,expanding,maximum,14b,1024,3.177886648275674e-08,0.05585569373014478,0.05585569023282207,3.4973227161505527e-09,True
depth_x6_y2,constant_width,individual_1,14b,1024,3.175932665466785e-08,0.05306573495975319,0.053065731461139756,3.4986134336834063e-09,True
depth_x6_y2,constant_width,union,14b,1024,3.175932665466785e-08,0.05306573495975319,0.053065731461139756,3.4986134336834063e-09,True
depth_x6_y2,constant_width,maximum,14b,1024,3.175932665466785e-08,0.05306573495975319,0.053065731461139756,3.4986134336834063e-09,True
depth_x10_y0,isotropic,individual_1,14b,512,1.082395284512927e-10,0.49509952584635036,0.4950995258535656,7.21522841473643e-12,True
depth_x10_y0,isotropic,union,14b,512,1.082395284512927e-10,0.49509952584635036,0.4950995258535656,7.21522841473643e-12,True
depth_x10_y0,isotropic,maximum,14b,512,1.082395284512927e-10,0.49509952584635036,0.4950995258535656,7.21522841473643e-12,True
depth_x10_y0,expanding,individual_1,14b,2048,7.4311780062785715e-09,0.4499999985176449,0.45000000000000007,1.4823551830467352e-09,True
depth_x10_y0,expanding,union,14b,2048,7.4311780062785715e-09,0.4499999985176449,0.45000000000000007,1.4823551830467352e-09,True
depth_x10_y0,expanding,maximum,14b,2048,7.4311780062785715e-09,0.4499999985176449,0.45000000000000007,1.4823551830467352e-09,True
depth_x10_y0,constant_width,individual_1,14b,2048,7.4311780062785715e-09,0.4499999985176449,0.45000000000000007,1.4823551830467352e-09,True
depth_x10_y0,constant_width,union,14b,2048,7.4311780062785715e-09,0.4499999985176449,0.45000000000000007,1.4823551830467352e-09,True
depth_x10_y0,constant_width,maximum,14b,2048,7.4311780062785715e-09,0.4499999985176449,0.45000000000000007,1.4823551830467352e-09,True
depth_x10_y2,isotropic,individual_1,14b,512,9.760725561136496e-11,0.4310493950947813,0.4310493951012878,6.506517546966961e-12,True
depth_x10_y2,isotropic,union,14b,512,9.760725561136496e-11,0.4310493950947813,0.4310493951012878,6.506517546966961e-12,True
depth_x10_y2,isotropic,maximum,14b,512,9.760725561136496e-11,0.4310493950947813,0.4310493951012878,6.506517546966961e-12,True
