fixture,candidate,component,expected,actual,expected_bits,actual_bits,expected_signed_zero,actual_signed_zero,absolute_difference,relative_difference,ulp_distance,finite,python_equal,bitwise_equal
lateral_x5_y5,expanding,individual_1,0.00018246146284270435,0.00018246146284270435,3f27ea6408087c20,3f27ea6408087c20,,,0.0,0.0,0,True,True,True
lateral_x5_y5,expanding,union,0.00018246146284270435,0.00018246146284270435,3f27ea6408087c20,3f27ea6408087c20,,,0.0,0.0,0,True,True,True
lateral_x5_y5,expanding,maximum,0.00018246146284270435,0.00018246146284270435,3f27ea6408087c20,3f27ea6408087c20,,,0.0,0.0,0,True,True,True
lateral_x5_y5,constant_width,individual_1,2.9838335238265077e-05,2.9838335238265077e-05,3eff49aac8c46813,3eff49aac8c46813,,,0.0,0.0,0,True,True,True
lateral_x5_y5,constant_width,union,2.9838335238265077e-05,2.9838335238265077e-05,3eff49aac8c46813,3eff49aac8c46813,,,0.0,0.0,0,True,True,True
lateral_x5_y5,constant_width,maximum,2.9838335238265077e-05,2.9838335238265077e-05,3eff49aac8c46813,3eff49aac8c46813,,,0.0,0.0,0,True,True,True
lateral_x10_y0,isotropic,individual_1,0.2506626837572468,0.2506626837572468,3fd00adb7f442865,3fd00adb7f442865,,,0.0,0.0,0,True,True,True
lateral_x10_y0,isotropic,union,0.2506626837572468,0.2506626837572468,3fd00adb7f442865,3fd00adb7f442865,,,0.0,0.0,0,True,True,True
lateral_x10_y0,isotropic,maximum,0.2506626837572468,0.2506626837572468,3fd00adb7f442865,3fd00adb7f442865,,,0.0,0.0,0,True,True,True
lateral_x10_y0,expanding,individual_1,0.4749999955432334,0.4749999955432334,3fde6666619d5555,3fde6666619d5555,,,0.0,0.0,0,True,True,True
lateral_x10_y0,expanding,union,0.4749999955432334,0.4749999955432334,3fde6666619d5555,3fde6666619d5555,,,0.0,0.0,0,True,True,True
lateral_x10_y0,expanding,maximum,0.4749999955432334,0.4749999955432334,3fde6666619d5555,3fde6666619d5555,,,0.0,0.0,0,True,True,True
lateral_x10_y0,constant_width,individual_1,0.4749999955432334,0.4749999955432334,3fde6666619d5555,3fde6666619d5555,,,0.0,0.0,0,True,True,True
lateral_x10_y0,constant_width,union,0.4749999955432334,0.4749999955432334,3fde6666619d5555,3fde6666619d5555,,,0.0,0.0,0,True,True,True
lateral_x10_y0,constant_width,maximum,0.4749999955432334,0.4749999955432334,3fde6666619d5555,3fde6666619d5555,,,0.0,0.0,0,True,True,True
lateral_x10_y1,isotropic,individual_1,0.22120904200931227,0.22120904200931227,3fcc5093f08136d9,3fcc5093f08136d9,,,0.0,0.0,0,True,True,True
