fixture,candidate,kind,raw,canonical,canonical_bits
star_edge_2,expanding,onset,0.2,0.20000000000000004,3fc999999999999b
star_edge_2,expanding,onset,0.24,0.24000000000000002,3fceb851eb851eb9
star_edge_2,expanding,onset,0.9000000000000001,0.9000000000000002,3feccccccccccccf
star_edge_2,expanding,onset,0.9000000000000001,0.9000000000000002,3feccccccccccccf
star_edge_2,expanding,onset,0.9447213595499959,0.944721359549996,3fee3b2849e3324d
star_edge_2,expanding,onset,0.9447213595499959,0.944721359549996,3fee3b2849e3324d
star_edge_2,constant_width,onset,0.2,0.20000000000000004,3fc999999999999b
star_edge_2,constant_width,onset,0.24,0.24000000000000002,3fceb851eb851eb9
star_edge_2,constant_width,onset,0.9000000000000001,0.9000000000000002,3feccccccccccccf
star_edge_2,constant_width,onset,0.9000000000000001,0.9000000000000002,3feccccccccccccf
star_edge_2,constant_width,onset,0.9447213595499959,0.944721359549996,3fee3b2849e3324d
star_edge_2,constant_width,onset,0.9447213595499959,0.944721359549996,3fee3b2849e3324d
star_edge_3,isotropic,switch,0.5428571428571427,0.5428571428571429,3fe15f15f15f15f2
star_edge_3,expanding,onset,0.25,0.25000000000000006,3fd0000000000001
star_edge_3,expanding,onset,0.3,0.30000000000000004,3fd3333333333334
star_edge_3,expanding,onset,0.9000000000000001,0.9000000000000002,3feccccccccccccf
star_edge_3,expanding,onset,0.9447213595499959,0.944721359549996,3fee3b2849e3324d
star_edge_3,expanding,switch,0.9092072807785407,0.9092072807785408,3fed1839de075355
star_edge_3,constant_width,onset,0.25,0.25000000000000006,3fd0000000000001
star_edge_3,constant_width,onset,0.3,0.30000000000000004,3fd3333333333334
star_edge_3,constant_width,onset,0.9000000000000001,0.9000000000000002,3feccccccccccccf
star_edge_3,constant_width,onset,0.9447213595499959,0.944721359549996,3fee3b2849e3324d
star_edge_3,constant_width,switch,0.9001633314552803,0.9001633314552793,3fecce2354b51528
star_edge_4,isotropic,switch,0.14285714285714282,0.14285714285714285,3fc2492492492492
star_edge_4,expanding,onset,0.7222222222222221,0.7222222222222223,3fe71c71c71c71c8
star_edge_4,expanding,onset,0.8118028638699837,0.8118028638699839,3fe9fa49ffe3dcf2
star_edge_4,constant_width,onset,0.7222222222222221,0.7222222222222223,3fe71c71c71c71c8
star_edge_4,constant_width,onset,0.8118028638699837,0.8118028638699839,3fe9fa49ffe3dcf2
