candidate,components,evidence_sha256,fixture,permutations,production_preserved,reason,status,structure_exact,verification_preserved
isotropic,3,19ae614503a86d72cebc00ec9be395cc514620dbb7788c213cbc83940a001835,depth_x5.5_y2,1,True,accepted,passed,True,True
expanding,3,9c565d9b019f4e6b4121d3d6487f872216bac2e270ce4dcf9d5b330c1367f511,depth_x5.5_y2,1,True,accepted,passed,True,True
constant_width,3,3fdca2f8a33ad90895e3d8ff3cfa814420416079da60e1e9eb6e76f4c26065ca,depth_x5.5_y2,1,True,accepted,passed,True,True
isotropic,3,df006be47caab4b05436af31e8ea763cb847d866528ea8a3af64b7bebcf0a1af,depth_x6_y0,1,True,accepted,passed,True,True
expanding,3,51d99f9a4653bc605a56bacec0730d6e2b87e4cf7b8bd303cfbfe38cbf4ac858,depth_x6_y0,1,True,accepted,passed,True,True
constant_width,3,7a7ea1747566bf07aeb57274b7eef352f732196db597d261e3a3d32836ab6968,depth_x6_y0,1,True,accepted,passed,True,True
isotropic,3,a954d2e05897fb4f2ae6eeba11848c1b3cfe09bdfad8247a9bfc41795201a51a,depth_x6_y2,1,True,accepted,passed,True,True
expanding,3,961ef40aeeaa83ec5ae2e2bae0a8cae060c779b896b5e6717b307e444a1c8b2a,depth_x6_y2,1,True,accepted,passed,True,True
constant_width,3,5b2ee90a3f735039684e7e2d9ab2619379020d53f1bfc7cb63a77d993f47520c,depth_x6_y2,1,True,accepted,passed,True,True
isotropic,3,722585e3fe0b8455cc19399632a3beace7b2a3460ea1a391969e49832c99b95c,depth_x10_y0,1,True,accepted,passed,True,True
expanding,3,d5b88c6d3fbe0a26e7fd2d6dad084c8a6bab34845b2d87aa6f169de05563e735,depth_x10_y0,1,True,accepted,passed,True,True
constant_width,3,a150a81be381bbe61291c9161aea0ce34f7b3d21fc272bb57a0ad690a1f7bb14,depth_x10_y0,1,True,accepted,passed,True,True
isotropic,3,cc08d8f3ff9fb9581067e2e79d4469c19c39adfe4d39f8521d194eeb2a5426fe,depth_x10_y2,1,True,accepted,passed,True,True
expanding,3,5a1b1dfd9de2a5c286848ee72d33c85a48420ecb3d4912ad6f1b02a93e51c270,depth_x10_y2,1,True,accepted,passed,True,True
constant_width,3,d432e7cecf62f655280afb9830300202f5a7b0b2950cedab4f92b44232c01c45,depth_x10_y2,1,True,accepted,passed,True,True
isotropic,3,f497caa65634c3f666c50b7fb266c444f962d4517216a533ef76050425d58f42,depth_x20_y0,1,True,accepted,passed,True,True
expanding,3,f7c2caf5a345eda896c29f5b2c51a6fa0858f4f20de4726be99964649c7ee123,depth_x20_y0,1,True,accepted,passed,True,True
constant_width,3,b0834c2edc87b86f4009b8db5f69df43676f056412916fd24d34a8caec36c359,depth_x20_y0,1,True,accepted,passed,True,True
isotropic,3,34285ec5d1bb9cbc6ae6936be3da703cf8b95908c4be4e17a59a0abcd7315036,depth_x20_y2,1,True,accepted,passed,True,True
expanding,3,3afd575e7e6efb3956371ff77ff1a9d8b2b5ddf9bbcefa062d1beaab0ae3a3d3,depth_x20_y2,1,True,accepted,passed,True,True
constant_width,3,94e825f5225a81da7e1ba81b98a5d13e5fd8b07e189e011bb00dfec15fc41507,depth_x20_y2,1,True,accepted,passed,True,True
isotropic,3,a577d0ff0a75264c2968a99479198833f2fd3f697791b4e4539f2a74cacfddc5,depth_x40_y0,1,True,accepted,passed,True,True
expanding,3,10512565d86e03ee5b8c520ddfb89c485cd83046f1d47ec2652631db46fd963a,depth_x40_y0,1,True,accepted,passed,True,True
constant_width,3,72ce796bbdeec4fdc38447b00871c5ee1411022c0f33c82854a5ac26055618d7,depth_x40_y0,1,True,accepted,passed,True,True
isotropic,3,c9a88407fe7b89f605f62d4304e2566639e819288b88ba16d0b0888ba87918e4,depth_x40_y2,1,True,accepted,passed,True,True
expanding,3,8d73fea17d7de9cc852cb0b7bee31df2698aa0459956957bf35fe341cde344be,depth_x40_y2,1,True,accepted,passed,True,True
constant_width,3,341a11ba4b1e24cc90fe399a66895a86c3161ddc7e1ac24fc6a237f306cb8348,depth_x40_y2,1,True,accepted,passed,True,True
isotropic,3,a237c6a2f320c5b45404a487104035e8892f48dc0005e62841f58abd56e528ce,equal_minimum_one,1,True,accepted,passed,True,True
expanding,3,cdc6bd706861ff9e1990c959e7389fc6be283548448b4c626a9dbf3143a4bd3a,equal_minimum_one,1,True,accepted,passed,True,True
constant_width,3,72a6efaadc3f9f72c511252a4415e5f0ebc3badc69ae8a33a735cf824fa28035,equal_minimum_one,1,True,accepted,passed,True,True
isotropic,5,82ffd092b2be204e75e8f4f2219fa17c5dbba350837572a57c7c98beeeae3cf9,equal_minimum_three,6,True,accepted,passed,True,True
expanding,5,25a094d92fc86fae809a8e6777ada5de746546c558b27a4ec70835ac736c7045,equal_minimum_three,6,True,accepted,passed,True,True
