fixture,candidate,status,components,permutations,structure_exact,production_preserved,verification_preserved,reason,evidence_sha256
depth_x10_y0,isotropic,passed,3,1,true,true,true,accepted,a6143db9ba566fcc00389bb1bce4dfd4054ad23a388801bdbb65594cd7f464cb
depth_x10_y0,expanding,passed,3,1,true,true,true,accepted,f793673f436dfdb4c11dbd4f85e57bfba013a14b3c2340292179f5f6ff834ce1
depth_x10_y0,constant_width,passed,3,1,true,true,true,accepted,ffe8f335ef1161ad18c3620719d9bd8572696b26511d2d7f8ad901abca81f5aa
depth_x10_y2,isotropic,passed,3,1,true,true,true,accepted,2a65c14cd6e76e94d9b4b67ebf5688af2017a477aac2782c44d2dabe6ed0beca
depth_x10_y2,expanding,passed,3,1,true,true,true,accepted,67c3cb865d37981634989169f9b154bf02b616fc0ed73cd7ab17db123f4fe00e
depth_x10_y2,constant_width,passed,3,1,true,true,true,accepted,b0220f4ffa739e91cd4369810fca15fed81a6c4ff2cb9c808f240b5aed0c04b0
depth_x20_y0,isotropic,passed,3,1,true,true,true,accepted,5b1caa27abbe717b9fa964ea2b891324f34da3cb56318164e5a82cfef7e3113a
depth_x20_y0,expanding,passed,3,1,true,true,true,accepted,ac9b069e5b7eb5fc79f63716169aa571ea98a8831e50e5d0d3935f9d4563ed9e
depth_x20_y0,constant_width,passed,3,1,true,true,true,accepted,8b5c07587b9c7a19bc3afd17a59f698df9f6240a2eb1671ce857c26743a52101
depth_x20_y2,isotropic,passed,3,1,true,true,true,accepted,f081f58891b3f02d8b0f9050da6af1f1596dc174b1ed0cc1599f8a7f55e4d15c
depth_x20_y2,expanding,passed,3,1,true,true,true,accepted,b552818b79f7eaef45d0e94904e56cb6718ee4557678c806d46b224e723a3520
depth_x20_y2,constant_width,passed,3,1,true,true,true,accepted,d049a76e1c5586a638c2ababfd6f75ef884ea8f16584258bfcf2aab7a2e68fd7
depth_x40_y0,isotropic,passed,3,1,true,true,true,accepted,af18150f49b3d53e848e6bfe4b82e6470010042dc6b2407917eba7e4e54765b4
depth_x40_y0,expanding,passed,3,1,true,true,true,accepted,dc13cf2c732d2c8cf4463837a0abb8d8eb8a41e841e21edadc9a5741bf63e666
depth_x40_y0,constant_width,passed,3,1,true,true,true,accepted,27a25143c7facc37748efb5d1b978e14477604c6a6fb3c2d5e41b3dad676055c
depth_x40_y2,isotropic,passed,3,1,true,true,true,accepted,17fb2887b82a3e5d6b12706f13be830ad9c8dbc1a7e5d2fdbb5a9f04c279acae
depth_x40_y2,expanding,passed,3,1,true,true,true,accepted,c8a2e9dff100074cc683214fd550f25baaebe2cff7724fcb9b2f5046193055a0
depth_x40_y2,constant_width,passed,3,1,true,true,true,accepted,786e9d2cd811af92b51ce8c95704f90eb49733d9b57e8ceef29bb3b70eca60aa
equal_minimum_one,isotropic,passed,3,1,true,true,true,accepted,de6108d5e76b02b157e77bf0abccc34acfaf906172b477208836c4afbb0c77d2
equal_minimum_one,expanding,passed,3,1,true,true,true,accepted,1808ba7d64f0352d6c6bc72e1ec57a118183750d1e1402fe2602f1dee628cc5f
equal_minimum_one,constant_width,passed,3,1,true,true,true,accepted,c867c65bdb3c99c1424fab2cebdf55eec75dd19c8bf36f256319a596d0220eea
equal_minimum_three,isotropic,passed,5,6,true,true,true,accepted,10f3325c8054650e657170f185587517e8065bfc44b2ac139285946c0bd8d890
equal_minimum_three,expanding,passed,5,6,true,true,true,accepted,700bccce75c0da745ca1be41ad57c33bdcad09a8ba2afa0c52e29e24b11467b0
equal_minimum_three,constant_width,passed,5,6,true,true,true,accepted,24c7d7ed370a6d4ec05e2a308e65f3a7e9c06404f4c733a2e6d32d84e4530519
star_edge_1,isotropic,passed,6,24,true,true,true,accepted,9a615514d759bc0a5e88bb5150e909c596f8855d31180f3335b2b2a35a917b5c
star_edge_1,expanding,passed,6,24,true,true,true,accepted,3b4c84d22234615fbb86337175bdf492eea956dc147545a25534f9824cc407a8
star_edge_1,constant_width,passed,6,24,true,true,true,accepted,96959c9782521c896eefe172b4edce4dae7d0f439c4819eec650e2571c150c98
star_edge_2,isotropic,passed,6,24,true,true,true,accepted,33332dc419eebd7297ba68061edcfe8c8ead2973c320d1bf9648cf457fead367
star_edge_2,expanding,passed,6,24,true,true,true,accepted,66a6c16cdfc102d776345e9e56920717c421ce44391fa3190bd3b0d433fdc2f8
star_edge_2,constant_width,passed,6,24,true,true,true,accepted,2768281b6fe47dc25f0ba8694031f1f8f0c0d8fd372b8bebde785fb02d6f8cfa
star_edge_3,isotropic,passed,6,24,true,true,true,accepted,68aa70b4b1283f6e32bbd3e3e440b367a539c00a193b7d1457f81968b78048b0
star_edge_3,expanding,passed,6,24,true,true,true,accepted,d8e6c7d68557d3387a44b08aa77a799dba5431d23cec4c17edee46b61976c3bb
star_edge_3,constant_width,passed,6,24,true,true,true,accepted,a40432b184b7a50bdf80aceba0aaa8f7348858878be32966548d411a5f4fb2ef
star_edge_4,isotropic,passed,6,24,true,true,true,accepted,0d102265f45a2992229110e31d307c162a1c7257edc44e4703836e182a78769f
star_edge_4,expanding,passed,6,24,true,true,true,accepted,06ea68297246284524bcdaf290d80176dad1a23ab880eedc8c8787d7faa87572
star_edge_4,constant_width,passed,6,24,true,true,true,accepted,b1c3b803558fae78cdca94ecbfc016650a28909963ed42e0ee3bfc2f1a8c2af9
