fixture,candidate,intervals,local_maximum_change,ci_maximum_change,local_accepted,ci_available
lateral_x15_y0,isotropic,1024,2.7059882112823175e-11,,False,False
lateral_x15_y0,isotropic,2048,1.6910361999578072e-12,,False,False
lateral_x15_y0,isotropic,4096,1.0574874309554616e-13,,False,False
lateral_x15_y0,isotropic,8192,6.5780714209040525e-15,,False,False
lateral_x15_y0,isotropic,16384,4.163336342344337e-16,,False,False
lateral_x15_y0,expanding,256,,,False,False
lateral_x15_y0,expanding,512,3.08702389401061e-06,,False,False
lateral_x15_y0,expanding,1024,2.409021059857075e-07,,False,False
lateral_x15_y0,expanding,2048,5.3133893118673114e-08,,True,False
lateral_x15_y0,expanding,4096,3.7155890031392858e-09,,False,False
lateral_x15_y0,expanding,8192,8.110798144222997e-10,,False,False
lateral_x15_y0,expanding,16384,5.824557502975836e-11,,False,False
lateral_x15_y0,constant_width,256,,,False,False
lateral_x15_y0,constant_width,512,3.08702389401061e-06,,False,False
lateral_x15_y0,constant_width,1024,2.409021059857075e-07,,False,False
lateral_x15_y0,constant_width,2048,5.3133893118673114e-08,,True,False
lateral_x15_y0,constant_width,4096,3.7155890031392858e-09,,False,False
lateral_x15_y0,constant_width,8192,8.110798144222997e-10,,False,False
lateral_x15_y0,constant_width,16384,5.824557502975836e-11,,False,False
lateral_x15_y1,isotropic,256,,,False,False
lateral_x15_y1,isotropic,512,3.8222588982783634e-10,,True,False
lateral_x15_y1,isotropic,1024,2.3880258881447958e-11,,False,False
lateral_x15_y1,isotropic,2048,1.4923617897011354e-12,,False,False
lateral_x15_y1,isotropic,4096,9.331424521974441e-14,,False,False
lateral_x15_y1,isotropic,8192,5.800915303666443e-15,,False,False
lateral_x15_y1,isotropic,16384,3.608224830031759e-16,,False,False
lateral_x15_y1,expanding,256,,,False,False
lateral_x15_y1,expanding,512,1.553980327445581e-06,,False,False
lateral_x15_y1,expanding,1024,5.548630020169032e-07,,False,False
lateral_x15_y1,expanding,2048,1.3189511705036239e-09,,True,False
lateral_x15_y1,expanding,4096,6.721894152406094e-10,,False,False
lateral_x15_y1,expanding,8192,9.681466739408506e-11,,False,False
lateral_x15_y1,expanding,16384,1.165305352213153e-10,,False,False
lateral_x15_y1,constant_width,256,,,False,False
lateral_x15_y1,constant_width,512,1.5769973080725919e-06,,False,False
lateral_x15_y1,constant_width,1024,5.453897006235664e-07,,False,False
lateral_x15_y1,constant_width,2048,1.7411957986546156e-10,,True,False
lateral_x15_y1,constant_width,4096,5.406404768315554e-10,,False,False
lateral_x15_y1,constant_width,8192,8.795703054786941e-11,,False,False
lateral_x15_y1,constant_width,16384,1.1629475160646052e-10,,False,False
lateral_x15_y2,isotropic,256,,,False,False
lateral_x15_y2,isotropic,512,2.6269975084147745e-10,,True,False
lateral_x15_y2,isotropic,1024,1.6412649017638614e-11,,False,False
lateral_x15_y2,isotropic,2048,1.0256795412999509e-12,,False,False
lateral_x15_y2,isotropic,4096,6.411537967210279e-14,,False,False
lateral_x15_y2,isotropic,8192,3.9968028886505635e-15,,False,False
lateral_x15_y2,isotropic,16384,2.498001805406602e-16,,False,False
lateral_x15_y2,expanding,256,,,False,False
lateral_x15_y2,expanding,512,1.3832289304793743e-06,,False,False
lateral_x15_y2,expanding,1024,5.281399408640919e-07,,False,False
lateral_x15_y2,expanding,2048,5.0783465349590884e-08,,True,False
lateral_x15_y2,expanding,4096,8.764544645600836e-12,,False,False
lateral_x15_y2,expanding,8192,3.348027410865484e-11,,False,False
lateral_x15_y2,expanding,16384,1.9481111168673237e-11,,False,False
lateral_x15_y2,constant_width,256,,,False,False
lateral_x15_y2,constant_width,512,1.4592140469005255e-06,,False,False
lateral_x15_y2,constant_width,1024,5.035424180260817e-07,,False,False
lateral_x15_y2,constant_width,2048,4.757736189742179e-08,,True,False
lateral_x15_y2,constant_width,4096,3.8097602850228895e-10,,False,False
lateral_x15_y2,constant_width,8192,7.879785712816556e-11,,False,False
lateral_x15_y2,constant_width,16384,2.3324370213018142e-11,,False,False
lateral_x15_y5,isotropic,256,,,False,False
lateral_x15_y5,isotropic,512,1.9029907857848194e-11,,True,False
lateral_x15_y5,isotropic,1024,1.1889256940067483e-12,,False,False
lateral_x15_y5,isotropic,2048,7.43016759230386e-14,,False,False
lateral_x15_y5,isotropic,4096,4.6455894686658894e-15,,False,False
lateral_x15_y5,isotropic,8192,2.8796409701215e-16,,False,False
lateral_x15_y5,isotropic,16384,1.9081958235744878e-17,,False,False
lateral_x15_y5,expanding,256,,,False,False
lateral_x15_y5,expanding,512,1.5235766151304453e-08,,True,False
lateral_x15_y5,expanding,1024,8.243885774548987e-09,,False,False
lateral_x15_y5,expanding,2048,3.754996515115128e-09,,False,False
lateral_x15_y5,expanding,4096,4.62272185808299e-10,,False,False
lateral_x15_y5,expanding,8192,5.464982372888061e-11,,False,False
lateral_x15_y5,expanding,16384,5.520431334282705e-12,,False,False
lateral_x15_y5,constant_width,256,,,False,False
lateral_x15_y5,constant_width,512,5.4537728831714066e-08,,True,False
lateral_x15_y5,constant_width,1024,1.083804562112059e-08,,False,False
lateral_x15_y5,constant_width,2048,2.8202526529408356e-09,,False,False
lateral_x15_y5,constant_width,4096,3.5069246508492857e-10,,False,False
lateral_x15_y5,constant_width,8192,4.200974897811127e-11,,False,False
lateral_x15_y5,constant_width,16384,4.547331261539611e-12,,False,False
depth_x4_y0,isotropic,256,,,False,False
depth_x4_y0,isotropic,512,1.5235590566931023e-11,,True,False
depth_x4_y0,isotropic,1024,9.521827770697655e-13,,False,False
depth_x4_y0,isotropic,2048,5.950795411990839e-14,,False,False
depth_x4_y0,isotropic,4096,3.7192471324942744e-15,,False,False
depth_x4_y0,isotropic,8192,2.220446049250313e-16,,False,False
depth_x4_y0,isotropic,16384,0.0,,False,False
depth_x4_y0,expanding,256,,,False,False
depth_x4_y0,expanding,512,0.0,,True,False
depth_x4_y0,expanding,1024,0.0,,False,False
depth_x4_y0,expanding,2048,0.0,,False,False
depth_x4_y0,expanding,4096,0.0,,False,False
depth_x4_y0,expanding,8192,0.0,,False,False
depth_x4_y0,expanding,16384,0.0,,False,False
depth_x4_y0,constant_width,256,,,False,False
depth_x4_y0,constant_width,512,0.0,,True,False
depth_x4_y0,constant_width,1024,0.0,,False,False
depth_x4_y0,constant_width,2048,0.0,,False,False
depth_x4_y0,constant_width,4096,0.0,,False,False
depth_x4_y0,constant_width,8192,0.0,,False,False
depth_x4_y0,constant_width,16384,0.0,,False,False
depth_x4_y2,isotropic,256,,,False,False
depth_x4_y2,isotropic,512,2.664146681041757e-12,,True,False
depth_x4_y2,isotropic,1024,1.6653345369377348e-13,,False,False
depth_x4_y2,isotropic,2048,1.0436096431476471e-14,,False,False
depth_x4_y2,isotropic,4096,6.106226635438361e-16,,False,False
depth_x4_y2,isotropic,8192,5.551115123125783e-17,,False,False
depth_x4_y2,isotropic,16384,0.0,,False,False
depth_x4_y2,expanding,256,,,False,False
depth_x4_y2,expanding,512,0.0,,True,False
depth_x4_y2,expanding,1024,0.0,,False,False
depth_x4_y2,expanding,2048,0.0,,False,False
depth_x4_y2,expanding,4096,0.0,,False,False
depth_x4_y2,expanding,8192,0.0,,False,False
depth_x4_y2,expanding,16384,0.0,,False,False
depth_x4_y2,constant_width,256,,,False,False
depth_x4_y2,constant_width,512,0.0,,True,False
depth_x4_y2,constant_width,1024,0.0,,False,False
depth_x4_y2,constant_width,2048,0.0,,False,False
depth_x4_y2,constant_width,4096,0.0,,False,False
depth_x4_y2,constant_width,8192,0.0,,False,False
depth_x4_y2,constant_width,16384,0.0,,False,False
depth_x5_y0,isotropic,256,,,False,False
depth_x5_y0,isotropic,512,6.764366844436154e-12,,True,False
depth_x5_y0,isotropic,1024,4.227729277772596e-13,,False,False
depth_x5_y0,isotropic,2048,2.631228568361621e-14,,False,False
depth_x5_y0,isotropic,4096,1.7208456881689926e-15,,False,False
depth_x5_y0,isotropic,8192,5.551115123125783e-17,,False,False
depth_x5_y0,isotropic,16384,0.0,,False,False
depth_x5_y0,expanding,256,,,False,False
depth_x5_y0,expanding,512,0.0,,True,False
depth_x5_y0,expanding,1024,0.0,,False,False
depth_x5_y0,expanding,2048,0.0,,False,False
depth_x5_y0,expanding,4096,0.0,,False,False
depth_x5_y0,expanding,8192,0.0,,False,False
depth_x5_y0,expanding,16384,0.0,,False,False
depth_x5_y0,constant_width,256,,,False,False
depth_x5_y0,constant_width,512,0.0,,True,False
depth_x5_y0,constant_width,1024,0.0,,False,False
depth_x5_y0,constant_width,2048,0.0,,False,False
depth_x5_y0,constant_width,4096,0.0,,False,False
depth_x5_y0,constant_width,8192,0.0,,False,False
depth_x5_y0,constant_width,16384,0.0,,False,False
depth_x5_y2,isotropic,256,,,False,False
depth_x5_y2,isotropic,512,9.497513886458364e-12,,True,False
depth_x5_y2,isotropic,1024,5.935807401158399e-13,,False,False
depth_x5_y2,isotropic,2048,3.708144902248023e-14,,False,False
