fixture,candidate,component,expected_historical,local_actual,ci_actual,local_expected_equal,local_expected_bitwise_equal,local_expected_absolute_difference,local_expected_relative_difference,local_expected_ulp_distance,ci_available
lateral_x15_y1,isotropic,union,0.2198355338983805,0.2198355338983805,,True,True,0.0,0.0,0,False
lateral_x15_y1,isotropic,maximum,0.2198355338983805,0.2198355338983805,,True,True,0.0,0.0,0,False
lateral_x15_y1,expanding,individual_1,0.19765491871344976,0.19765491871344976,,True,True,0.0,0.0,0,False
lateral_x15_y1,expanding,union,0.19765491871344976,0.19765491871344976,,True,True,0.0,0.0,0,False
lateral_x15_y1,expanding,maximum,0.19765491871344976,0.19765491871344976,,True,True,0.0,0.0,0,False
lateral_x15_y1,constant_width,individual_1,0.18595620821688116,0.18595620821688116,,True,True,0.0,0.0,0,False
lateral_x15_y1,constant_width,union,0.18595620821688116,0.18595620821688116,,True,True,0.0,0.0,0,False
lateral_x15_y1,constant_width,maximum,0.18595620821688116,0.18595620821688116,,True,True,0.0,0.0,0,False
lateral_x15_y2,isotropic,individual_1,0.15109060554564627,0.15109060554564627,,True,True,0.0,0.0,0,False
lateral_x15_y2,isotropic,union,0.15109060554564627,0.15109060554564627,,True,True,0.0,0.0,0,False
lateral_x15_y2,isotropic,maximum,0.15109060554564627,0.15109060554564627,,True,True,0.0,0.0,0,False
lateral_x15_y2,expanding,individual_1,0.13292762911694314,0.13292762911694314,,True,True,0.0,0.0,0,False
lateral_x15_y2,expanding,union,0.13292762911694314,0.13292762911694314,,True,True,0.0,0.0,0,False
lateral_x15_y2,expanding,maximum,0.13292762911694314,0.13292762911694314,,True,True,0.0,0.0,0,False
lateral_x15_y2,constant_width,individual_1,0.1053485361074352,0.1053485361074352,,True,True,0.0,0.0,0,False
lateral_x15_y2,constant_width,union,0.1053485361074352,0.1053485361074352,,True,True,0.0,0.0,0,False
lateral_x15_y2,constant_width,maximum,0.1053485361074352,0.1053485361074352,,True,True,0.0,0.0,0,False
lateral_x15_y5,isotropic,individual_1,0.010944966755884543,0.010944966755884543,,True,True,0.0,0.0,0,False
lateral_x15_y5,isotropic,union,0.010944966755884543,0.010944966755884543,,True,True,0.0,0.0,0,False
lateral_x15_y5,isotropic,maximum,0.010944966755884543,0.010944966755884543,,True,True,0.0,0.0,0,False
lateral_x15_y5,expanding,individual_1,0.005675546169237052,0.005675546169237052,,True,True,0.0,0.0,0,False
